freq;freq_label;isced11;isced11_label;sex;sex_label;age;age_label;unit;unit_label;geo;geo_label;time;time_label;value
A;Annual;TOTAL;All ISCED 2011 levels;T;Total;Y_GE25;25 years or over;PC;Percentage;PT;Portugal;1999;1999;11.3
A;Annual;ED0-2;Less than primary, primary and lower secondary education (levels 0-2);T;Total;Y_GE25;25 years or over;PC;Percentage;PT;Portugal;1999;1999;9.4
A;Annual;ED3_4;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);T;Total;Y_GE25;25 years or over;PC;Percentage;PT;Portugal;1999;1999;8.9
A;Annual;ED5-8;Tertiary education (levels 5-8);T;Total;Y_GE25;25 years or over;PC;Percentage;PT;Portugal;1999;1999;8.3
A;Annual;NRP;No response;T;Total;Y_GE25;25 years or over;PC;Percentage;PT;Portugal;1999;1999;12.9
A;Annual;UNK;Unknown;T;Total;Y_GE25;25 years or over;PC;Percentage;PT;Portugal;1999;1999;10.8
A;Annual;TOTAL;All ISCED 2011 levels;M;Males;Y_GE25;25 years or over;PC;Percentage;PT;Portugal;1999;1999;9.0
A;Annual;ED0-2;Less than primary, primary and lower secondary education (levels 0-2);M;Males;Y_GE25;25 years or over;PC;Percentage;PT;Portugal;1999;1999;10.6
A;Annual;ED3_4;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);M;Males;Y_GE25;25 years or over;PC;Percentage;PT;Portugal;1999;1999;10.9
A;Annual;ED5-8;Tertiary education (levels 5-8);M;Males;Y_GE25;25 years or over;PC;Percentage;PT;Portugal;1999;1999;9.7
A;Annual;NRP;No response;M;Males;Y_GE25;25 years or over;PC;Percentage;PT;Portugal;1999;1999;8.3
A;Annual;UNK;Unknown;M;Males;Y_GE25;25 years or over;PC;Percentage;PT;Portugal;1999;1999;7.7
A;Annual;TOTAL;All ISCED 2011 levels;F;Females;Y_GE25;25 years or over;PC;Percentage;PT;Portugal;1999;1999;8.1
A;Annual;ED0-2;Less than primary, primary and lower secondary education (levels 0-2);F;Females;Y_GE25;25 years or over;PC;Percentage;PT;Portugal;1999;1999;11.2
A;Annual;ED3_4;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);F;Females;Y_GE25;25 years or over;PC;Percentage;PT;Portugal;1999;1999;20.0
A;Annual;ED5-8;Tertiary education (levels 5-8);F;Females;Y_GE25;25 years or over;PC;Percentage;PT;Portugal;1999;1999;22.1
A;Annual;NRP;No response;F;Females;Y_GE25;25 years or over;PC;Percentage;PT;Portugal;1999;1999;23.4
A;Annual;UNK;Unknown;F;Females;Y_GE25;25 years or over;PC;Percentage;PT;Portugal;1999;1999;26.7
A;Annual;TOTAL;All ISCED 2011 levels;T;Total;Y35-44;From 35 to 44 years;PC;Percentage;PT;Portugal;1999;1999;27.6
A;Annual;ED0-2;Less than primary, primary and lower secondary education (levels 0-2);T;Total;Y35-44;From 35 to 44 years;PC;Percentage;PT;Portugal;1999;1999;25.4
A;Annual;ED3_4;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);T;Total;Y35-44;From 35 to 44 years;PC;Percentage;PT;Portugal;1999;1999;22.3
A;Annual;ED5-8;Tertiary education (levels 5-8);T;Total;Y35-44;From 35 to 44 years;PC;Percentage;PT;Portugal;1999;1999;20.2
A;Annual;NRP;No response;T;Total;Y35-44;From 35 to 44 years;PC;Percentage;PT;Portugal;1999;1999;17.7
A;Annual;UNK;Unknown;T;Total;Y35-44;From 35 to 44 years;PC;Percentage;PT;Portugal;1999;1999;15.2
A;Annual;TOTAL;All ISCED 2011 levels;M;Males;Y35-44;From 35 to 44 years;PC;Percentage;PT;Portugal;1999;1999;13.8
A;Annual;ED0-2;Less than primary, primary and lower secondary education (levels 0-2);M;Males;Y35-44;From 35 to 44 years;PC;Percentage;PT;Portugal;1999;1999;15.9
A;Annual;ED3_4;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);M;Males;Y35-44;From 35 to 44 years;PC;Percentage;PT;Portugal;1999;1999;15.8
A;Annual;ED5-8;Tertiary education (levels 5-8);M;Males;Y35-44;From 35 to 44 years;PC;Percentage;PT;Portugal;1999;1999;13.0
A;Annual;NRP;No response;M;Males;Y35-44;From 35 to 44 years;PC;Percentage;PT;Portugal;1999;1999;12.4
A;Annual;UNK;Unknown;M;Males;Y35-44;From 35 to 44 years;PC;Percentage;PT;Portugal;1999;1999;12.3
A;Annual;TOTAL;All ISCED 2011 levels;F;Females;Y35-44;From 35 to 44 years;PC;Percentage;PT;Portugal;1999;1999;6.8
