freq;freq_label;indic_de;indic_de_label;unit;unit_label;geo;geo_label;time;time_label;value
A;Annual;TOTFERRT;Total fertility rate;NR;Number;PT191;Região de Aveiro;2015;2015;31.3
A;Annual;AGEMOTH;Mean age of women at childbirth;YR;Year;PT191;Região de Aveiro;2015;2015;31.8
A;Annual;MEDAGEMOTH;Median age of women at childbirth;YR;Year;PT191;Região de Aveiro;2015;2015;31.9
A;Annual;TOTFERRT;Total fertility rate;YR;Year;PT191;Região de Aveiro;2015;2015;31.8
A;Annual;AGEMOTH;Mean age of women at childbirth;NR;Number;PT192;Região de Coimbra;2015;2015;31.9
A;Annual;MEDAGEMOTH;Median age of women at childbirth;NR;Number;PT192;Região de Coimbra;2015;2015;31.8
A;Annual;TOTFERRT;Total fertility rate;NR;Number;PT192;Região de Coimbra;2015;2015;32.1
A;Annual;AGEMOTH;Mean age of women at childbirth;YR;Year;PT192;Região de Coimbra;2015;2015;31.4
A;Annual;MEDAGEMOTH;Median age of women at childbirth;YR;Year;PT192;Região de Coimbra;2015;2015;31.7
A;Annual;TOTFERRT;Total fertility rate;YR;Year;PT192;Região de Coimbra;2015;2015;31.4
A;Annual;AGEMOTH;Mean age of women at childbirth;NR;Number;PT193;Região de Leiria;2015;2015;32.0
A;Annual;MEDAGEMOTH;Median age of women at childbirth;NR;Number;PT193;Região de Leiria;2015;2015;32.0
A;Annual;TOTFERRT;Total fertility rate;NR;Number;PT193;Região de Leiria;2015;2015;31.9
A;Annual;AGEMOTH;Mean age of women at childbirth;YR;Year;PT193;Região de Leiria;2015;2015;32.2
A;Annual;MEDAGEMOTH;Median age of women at childbirth;YR;Year;PT193;Região de Leiria;2015;2015;32.2
A;Annual;TOTFERRT;Total fertility rate;YR;Year;PT193;Região de Leiria;2015;2015;32.7
A;Annual;AGEMOTH;Mean age of women at childbirth;NR;Number;PT194;Viseu Dão Lafões;2015;2015;32.5
A;Annual;MEDAGEMOTH;Median age of women at childbirth;NR;Number;PT194;Viseu Dão Lafões;2015;2015;32.6
A;Annual;TOTFERRT;Total fertility rate;NR;Number;PT194;Viseu Dão Lafões;2015;2015;31.6
A;Annual;AGEMOTH;Mean age of women at childbirth;YR;Year;PT194;Viseu Dão Lafões;2015;2015;31.4
A;Annual;MEDAGEMOTH;Median age of women at childbirth;YR;Year;PT194;Viseu Dão Lafões;2015;2015;31.7
A;Annual;TOTFERRT;Total fertility rate;YR;Year;PT194;Viseu Dão Lafões;2015;2015;31.8
A;Annual;AGEMOTH;Mean age of women at childbirth;NR;Number;PT195;Beira Baixa;2015;2015;31.9
A;Annual;MEDAGEMOTH;Median age of women at childbirth;NR;Number;PT195;Beira Baixa;2015;2015;32.3
A;Annual;TOTFERRT;Total fertility rate;NR;Number;PT195;Beira Baixa;2015;2015;32.1
A;Annual;AGEMOTH;Mean age of women at childbirth;YR;Year;PT195;Beira Baixa;2015;2015;32.0
A;Annual;MEDAGEMOTH;Median age of women at childbirth;YR;Year;PT195;Beira Baixa;2015;2015;32.5
A;Annual;TOTFERRT;Total fertility rate;YR;Year;PT195;Beira Baixa;2015;2015;32.6
A;Annual;AGEMOTH;Mean age of women at childbirth;NR;Number;PT196;Beiras e Serra da Estrela;2015;2015;32.7
