freq;freq_label;unit;unit_label;sector;sector_label;na_item;na_item_label;geo;geo_label;time;time_label;value
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1311;Central government;B5GQ;Gross national income at market prices;PT;Portugal;1995;1995;319941.0
A;Annual;MIO_EUR;Million euro;S1312;State government;B5GQ;Gross national income at market prices;PT;Portugal;1995;1995;355917.0
A;Annual;MIO_NAC;Million units of national currency;S1312;State government;B5GQ;Gross national income at market prices;PT;Portugal;1995;1995;390996.0
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1312;State government;B5GQ;Gross national income at market prices;PT;Portugal;1995;1995;422827.0
A;Annual;MIO_EUR;Million euro;S1313;Local government;B5GQ;Gross national income at market prices;PT;Portugal;1995;1995;
A;Annual;MIO_NAC;Million units of national currency;S1313;Local government;B5GQ;Gross national income at market prices;PT;Portugal;1995;1995;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1313;Local government;B5GQ;Gross national income at market prices;PT;Portugal;1995;1995;
A;Annual;MIO_EUR;Million euro;S1314;Social security funds;B5GQ;Gross national income at market prices;PT;Portugal;1995;1995;
A;Annual;MIO_NAC;Million units of national currency;S1314;Social security funds;B5GQ;Gross national income at market prices;PT;Portugal;1995;1995;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1314;Social security funds;B5GQ;Gross national income at market prices;PT;Portugal;1995;1995;
A;Annual;MIO_EUR;Million euro;S1;Total economy;GD_F2;Government consolidated gross debt at face value - currency and deposits;PT;Portugal;1995;1995;
A;Annual;MIO_NAC;Million units of national currency;S1;Total economy;GD_F2;Government consolidated gross debt at face value - currency and deposits;PT;Portugal;1995;1995;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1;Total economy;GD_F2;Government consolidated gross debt at face value - currency and deposits;PT;Portugal;1995;1995;
A;Annual;MIO_EUR;Million euro;S13;General government;GD_F2;Government consolidated gross debt at face value - currency and deposits;PT;Portugal;1995;1995;
A;Annual;MIO_NAC;Million units of national currency;S13;General government;GD_F2;Government consolidated gross debt at face value - currency and deposits;PT;Portugal;1995;1995;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S13;General government;GD_F2;Government consolidated gross debt at face value - currency and deposits;PT;Portugal;1995;1995;
A;Annual;MIO_EUR;Million euro;S1311;Central government;GD_F2;Government consolidated gross debt at face value - currency and deposits;PT;Portugal;1995;1995;
A;Annual;MIO_NAC;Million units of national currency;S1311;Central government;GD_F2;Government consolidated gross debt at face value - currency and deposits;PT;Portugal;1995;1995;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1311;Central government;GD_F2;Government consolidated gross debt at face value - currency and deposits;PT;Portugal;1995;1995;
A;Annual;MIO_EUR;Million euro;S1312;State government;GD_F2;Government consolidated gross debt at face value - currency and deposits;PT;Portugal;1995;1995;
A;Annual;MIO_NAC;Million units of national currency;S1312;State government;GD_F2;Government consolidated gross debt at face value - currency and deposits;PT;Portugal;1995;1995;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1312;State government;GD_F2;Government consolidated gross debt at face value - currency and deposits;PT;Portugal;1995;1995;
A;Annual;MIO_EUR;Million euro;S1313;Local government;GD_F2;Government consolidated gross debt at face value - currency and deposits;PT;Portugal;1995;1995;
A;Annual;MIO_NAC;Million units of national currency;S1313;Local government;GD_F2;Government consolidated gross debt at face value - currency and deposits;PT;Portugal;1995;1995;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1313;Local government;GD_F2;Government consolidated gross debt at face value - currency and deposits;PT;Portugal;1995;1995;
A;Annual;MIO_EUR;Million euro;S1314;Social security funds;GD_F2;Government consolidated gross debt at face value - currency and deposits;PT;Portugal;1995;1995;
A;Annual;MIO_NAC;Million units of national currency;S1314;Social security funds;GD_F2;Government consolidated gross debt at face value - currency and deposits;PT;Portugal;1995;1995;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1314;Social security funds;GD_F2;Government consolidated gross debt at face value - currency and deposits;PT;Portugal;1995;1995;
A;Annual;MIO_EUR;Million euro;S1;Total economy;GD_F3;Government consolidated gross debt at face value - debt securities;PT;Portugal;1995;1995;
A;Annual;MIO_NAC;Million units of national currency;S1;Total economy;GD_F3;Government consolidated gross debt at face value - debt securities;PT;Portugal;1995;1995;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1;Total economy;GD_F3;Government consolidated gross debt at face value - debt securities;PT;Portugal;1995;1995;183257.0
A;Annual;MIO_EUR;Million euro;S13;General government;GD_F3;Government consolidated gross debt at face value - debt securities;PT;Portugal;1995;1995;204275.0
A;Annual;MIO_NAC;Million units of national currency;S13;General government;GD_F3;Government consolidated gross debt at face value - debt securities;PT;Portugal;1995;1995;218328.0
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S13;General government;GD_F3;Government consolidated gross debt at face value - debt securities;PT;Portugal;1995;1995;230004.0
A;Annual;MIO_EUR;Million euro;S1311;Central government;GD_F3;Government consolidated gross debt at face value - debt securities;PT;Portugal;1995;1995;
A;Annual;MIO_NAC;Million units of national currency;S1311;Central government;GD_F3;Government consolidated gross debt at face value - debt securities;PT;Portugal;1995;1995;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1311;Central government;GD_F3;Government consolidated gross debt at face value - debt securities;PT;Portugal;1995;1995;
A;Annual;MIO_EUR;Million euro;S1312;State government;GD_F3;Government consolidated gross debt at face value - debt securities;PT;Portugal;1995;1995;
A;Annual;MIO_NAC;Million units of national currency;S1312;State government;GD_F3;Government consolidated gross debt at face value - debt securities;PT;Portugal;1995;1995;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1312;State government;GD_F3;Government consolidated gross debt at face value - debt securities;PT;Portugal;1995;1995;
A;Annual;MIO_EUR;Million euro;S1313;Local government;GD_F3;Government consolidated gross debt at face value - debt securities;PT;Portugal;1995;1995;
A;Annual;MIO_NAC;Million units of national currency;S1313;Local government;GD_F3;Government consolidated gross debt at face value - debt securities;PT;Portugal;1995;1995;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1313;Local government;GD_F3;Government consolidated gross debt at face value - debt securities;PT;Portugal;1995;1995;
