tempo;regiao;entidade;localizacao_geografica;tipologia_de_ausencia;valor
2014-05;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, E.P.E.;41.2494561, -8.264901;Com perda do vencimento;1
2020-12;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523, -8.4098211;Injustificadas;479
2014-05;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, E.P.E.;41.4387173, -8.3086907;Casamento;30
2020-12;Região de Saúde do Centro;Centro Medicina de Reabilitação da Região Centro Rovisco Pais;38.7313954, -9.1447467;Assistência a familiares;25
2014-05;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, E.P.E.;41.4387173, -8.3086907;Protecção na parentalidade;8920
2020-12;Região de Saúde do Centro;Centro Medicina de Reabilitação da Região Centro Rovisco Pais;38.7313954, -9.1447467;Injustificadas;2
2014-05;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, E.P.E.;41.4387173, -8.3086907;Trabalhador-estudante;77
2020-12;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo;40.3470015, -8.5933462;Trabalhador-estudante;30
2014-05;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, E.P.E.;41.4387173, -8.3086907;Greve;4
2020-12;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo;40.3470015, -8.5933462;Cumprimento de pena disciplinar;0
2014-05;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, E.P.E.;41.4387173, -8.3086907;Outras;1082
2020-12;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo;40.3470015, -8.5933462;Greve;8
2014-05;Região de Saúde Norte;Hospital Santa Maria Maior, E.P.E.;41.5324234, -8.6171561;Protecção na parentalidade;2430
2020-12;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo;40.3470015, -8.5933462;Injustificadas;0
2014-05;Região de Saúde Norte;Hospital Santa Maria Maior, E.P.E.;41.5324234, -8.6171561;Trabalhador-estudante;48
2020-12;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, E.P.E.;40.117897, -8.8586755;Trabalhador-estudante;306
2014-05;Região de Saúde Norte;Hospital Santa Maria Maior, E.P.E.;41.5324234, -8.6171561;Outras;239
2020-12;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo;40.8571967, -8.6318023;Falecimento de familiar;52
2014-05;Região de Saúde Norte;Hospital de Magalhães Lemos, E.P.E.;41.1764649, -8.6649823;Outras;177
2020-12;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo;40.8571967, -8.6318023;Greve;2
2014-05;Região de Saúde Norte;Instituto Português Oncologia do Porto, E.P.E.;41.1785642, -8.6062881;Doença;9710
2020-12;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, E.P.E.;40.2162514, -8.4103814;Falecimento de familiar;233
2014-05;Região de Saúde Norte;Instituto Português Oncologia do Porto, E.P.E.;41.1785642, -8.6062881;Por conta do período de férias;164
2020-12;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, E.P.E.;40.2162514, -8.4103814;Doença;22899
2014-05;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;41.7056054, -8.8252713;Injustificadas;0
2020-12;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, E.P.E.;40.2162514, -8.4103814;Por conta do período de férias;34
2014-05;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, E.P.E.;41.8056532, -6.7888197;Falecimento de familiar;242
2020-12;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, E.P.E.;40.2162514, -8.4103814;Cumprimento de pena disciplinar;0
2014-05;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, E.P.E.;41.8056532, -6.7888197;Com perda do vencimento;0
2020-12;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, E.P.E.;40.5309916, -7.2734793;Falecimento de familiar;523
2014-05;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, E.P.E.;41.8056532, -6.7888197;Injustificadas;2
