2025-12-31 23:04:38,726 - INFO - ======================================================================
2025-12-31 23:04:38,726 - INFO - ULS INTEGRATION STRUCTURE ANALYSIS
2025-12-31 23:04:38,726 - INFO - ======================================================================

2025-12-31 23:04:38,726 - INFO - Loading entities from all datasets...
2025-12-31 23:04:38,801 - INFO -   Monthly panel: 192 entities
2025-12-31 23:04:38,814 - INFO -   Quality data: 128 entities
2025-12-31 23:04:38,821 - INFO -   Financial data: 95 entities
2025-12-31 23:04:38,821 - INFO - 
Total unique entities: 252
2025-12-31 23:04:38,822 - INFO - 
Classifying entities...
2025-12-31 23:04:38,822 - INFO - 
Classification results:
2025-12-31 23:04:38,822 - INFO -   ULS: 128
2025-12-31 23:04:38,822 - INFO -   IPO: 16
2025-12-31 23:04:38,822 - INFO -   Hospitals/Centros Hospitalares: 95
2025-12-31 23:04:38,822 - INFO -   ACES: 0
2025-12-31 23:04:38,822 - INFO -   Other: 13
2025-12-31 23:04:38,822 - INFO - 
======================================================================
2025-12-31 23:04:38,824 - INFO -  26. Centro Hospitalar Universitário de São João, E. P. E.
2025-12-31 23:04:38,824 - INFO -  27. Centro Hospitalar Universitário de São João, EPE
2025-12-31 23:04:38,824 - INFO -  28. Centro Hospitalar Universitário do Algarve, E.P.E
2025-12-31 23:04:38,824 - INFO -  29. Centro Hospitalar Universitário do Algarve,EPE
2025-12-31 23:04:38,824 - INFO -  30. Centro Hospitalar Universitário do Porto, E. P. E.
2025-12-31 23:04:38,824 - INFO -  31. Centro Hospitalar Universitário do Porto, EPE
2025-12-31 23:04:38,824 - INFO -  32. Centro Hospitalar Vila Nova Gaia/Espinho, E. P. E.
2025-12-31 23:04:38,824 - INFO -  33. Centro Hospitalar Vila Nova Gaia/Espinho, EPE
2025-12-31 23:04:38,824 - INFO -  34. Centro Hospitalar Vila Nova de Gaia/Espinho, EPE
2025-12-31 23:04:38,824 - INFO -  35. Centro Hospitalar de Entre o Douro e Vouga, E. P. E.
2025-12-31 23:04:38,824 - INFO -  36. Centro Hospitalar de Entre o Douro e Vouga, EPE
2025-12-31 23:04:38,824 - INFO -  37. Centro Hospitalar de Leiria, E. P. E.
2025-12-31 23:04:38,824 - INFO -  38. Centro Hospitalar de Leiria, EPE
2025-12-31 23:04:38,824 - INFO -  39. Centro Hospitalar de Lisboa - Zona Ocidental, E. P. E.
