freq;freq_label;sex;sex_label;unit;unit_label;age;age_label;geo;geo_label;time;time_label;value
A;Annual;T;Total;NR;Number;Y30-34;From 30 to 34 years;PT;Portugal;2016;2016;736800
A;Annual;M;Males;NR;Number;Y30-34;From 30 to 34 years;PT;Portugal;2016;2016;576221
A;Annual;F;Females;NR;Number;Y30-34;From 30 to 34 years;PT;Portugal;2016;2016;587504
A;Annual;T;Total;NR;Number;Y35-39;From 35 to 39 years;PT;Portugal;2016;2016;596549
A;Annual;M;Males;NR;Number;Y35-39;From 35 to 39 years;PT;Portugal;2016;2016;611614
A;Annual;F;Females;NR;Number;Y35-39;From 35 to 39 years;PT;Portugal;2016;2016;627359
A;Annual;T;Total;NR;Number;Y40-44;From 40 to 44 years;PT;Portugal;2016;2016;629274
A;Annual;M;Males;NR;Number;Y40-44;From 40 to 44 years;PT;Portugal;2016;2016;640844
A;Annual;F;Females;NR;Number;Y40-44;From 40 to 44 years;PT;Portugal;2016;2016;651769
A;Annual;T;Total;NR;Number;Y45-49;From 45 to 49 years;PT;Portugal;2016;2016;658158
A;Annual;M;Males;NR;Number;Y45-49;From 45 to 49 years;PT;Portugal;2016;2016;669746
A;Annual;F;Females;NR;Number;Y45-49;From 45 to 49 years;PT;Portugal;2016;2016;685297
A;Annual;T;Total;NR;Number;Y50-54;From 50 to 54 years;PT;Portugal;2016;2016;477976
A;Annual;M;Males;NR;Number;Y50-54;From 50 to 54 years;PT;Portugal;2016;2016;483847
A;Annual;F;Females;NR;Number;Y50-54;From 50 to 54 years;PT;Portugal;2016;2016;499643
A;Annual;T;Total;NR;Number;Y55-59;From 55 to 59 years;PT;Portugal;2016;2016;514075
A;Annual;M;Males;NR;Number;Y55-59;From 55 to 59 years;PT;Portugal;2016;2016;528508
A;Annual;F;Females;NR;Number;Y55-59;From 55 to 59 years;PT;Portugal;2016;2016;550437
A;Annual;T;Total;NR;Number;Y60-64;From 60 to 64 years;PT;Portugal;2016;2016;570484
A;Annual;M;Males;NR;Number;Y60-64;From 60 to 64 years;PT;Portugal;2016;2016;585038
A;Annual;F;Females;NR;Number;Y60-64;From 60 to 64 years;PT;Portugal;2016;2016;603512
A;Annual;T;Total;NR;Number;Y65-69;From 65 to 69 years;PT;Portugal;2016;2016;618759
A;Annual;M;Males;NR;Number;Y65-69;From 65 to 69 years;PT;Portugal;2016;2016;619143
A;Annual;F;Females;NR;Number;Y65-69;From 65 to 69 years;PT;Portugal;2016;2016;432940
A;Annual;T;Total;NR;Number;Y70-74;From 70 to 74 years;PT;Portugal;2016;2016;436031
A;Annual;M;Males;NR;Number;Y70-74;From 70 to 74 years;PT;Portugal;2016;2016;432734
A;Annual;F;Females;NR;Number;Y70-74;From 70 to 74 years;PT;Portugal;2016;2016;426619
A;Annual;T;Total;NR;Number;Y75-79;From 75 to 79 years;PT;Portugal;2016;2016;426552
A;Annual;M;Males;NR;Number;Y75-79;From 75 to 79 years;PT;Portugal;2016;2016;430858
A;Annual;F;Females;NR;Number;Y75-79;From 75 to 79 years;PT;Portugal;2016;2016;442781
A;Annual;T;Total;NR;Number;Y80-84;From 80 to 84 years;PT;Portugal;2016;2016;461865
A;Annual;M;Males;NR;Number;Y80-84;From 80 to 84 years;PT;Portugal;2016;2016;478962
A;Annual;F;Females;NR;Number;Y80-84;From 80 to 84 years;PT;Portugal;2016;2016;494631
A;Annual;T;Total;NR;Number;Y85-89;From 85 to 89 years;PT;Portugal;2016;2016;516919
A;Annual;M;Males;NR;Number;Y85-89;From 85 to 89 years;PT;Portugal;2016;2016;325736
A;Annual;F;Females;NR;Number;Y85-89;From 85 to 89 years;PT;Portugal;2016;2016;330528
A;Annual;T;Total;NR;Number;Y_GE85;85 years or over;PT;Portugal;2016;2016;337463
A;Annual;M;Males;NR;Number;Y_GE85;85 years or over;PT;Portugal;2016;2016;344067
