freq;freq_label;unit;unit_label;wstatus;wstatus_label;nace_r2;nace_r2_label;geo;geo_label;time;time_label;value
A;Annual;THS;Thousand;EMP;Employed persons;O-Q;Public administration, defence, education, human health and social work activities;PT;Portugal;1998;1998;921.75
A;Annual;THS;Thousand;SAL;Employees;O-Q;Public administration, defence, education, human health and social work activities;PT;Portugal;1998;1998;926.51
A;Annual;THS;Thousand;SELF;Self-employed persons;O-Q;Public administration, defence, education, human health and social work activities;PT;Portugal;1998;1998;950.16
A;Annual;THS;Thousand;EMP;Employed persons;R-U;"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies";PT;Portugal;1998;1998;1006.22
A;Annual;THS;Thousand;SAL;Employees;R-U;"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies";PT;Portugal;1998;1998;1031.17
A;Annual;THS;Thousand;SELF;Self-employed persons;R-U;"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies";PT;Portugal;1998;1998;1037.71
A;Annual;THS;Thousand;EMP;Employed persons;TOTAL;Total - all NACE activities;PT;Portugal;1999;1999;1108.37
A;Annual;THS;Thousand;SAL;Employees;TOTAL;Total - all NACE activities;PT;Portugal;1999;1999;1107.23
A;Annual;THS;Thousand;SELF;Self-employed persons;TOTAL;Total - all NACE activities;PT;Portugal;1999;1999;1123.35
A;Annual;THS;Thousand;EMP;Employed persons;A;Agriculture, forestry and fishing;PT;Portugal;1999;1999;1153.95
A;Annual;THS;Thousand;SAL;Employees;A;Agriculture, forestry and fishing;PT;Portugal;1999;1999;1166.46
A;Annual;THS;Thousand;SELF;Self-employed persons;A;Agriculture, forestry and fishing;PT;Portugal;1999;1999;1193.61
A;Annual;THS;Thousand;EMP;Employed persons;B-E;Industry (except construction);PT;Portugal;1999;1999;1192.39
A;Annual;THS;Thousand;SAL;Employees;B-E;Industry (except construction);PT;Portugal;1999;1999;1206.73
A;Annual;THS;Thousand;SELF;Self-employed persons;B-E;Industry (except construction);PT;Portugal;1999;1999;1169.76
A;Annual;THS;Thousand;EMP;Employed persons;C;Manufacturing;PT;Portugal;1999;1999;1161.8
A;Annual;THS;Thousand;SAL;Employees;C;Manufacturing;PT;Portugal;1999;1999;1155.27
A;Annual;THS;Thousand;SELF;Self-employed persons;C;Manufacturing;PT;Portugal;1999;1999;1100.27
A;Annual;THS;Thousand;EMP;Employed persons;F;Construction;PT;Portugal;1999;1999;1068.41
A;Annual;THS;Thousand;SAL;Employees;F;Construction;PT;Portugal;1999;1999;1111.06
A;Annual;THS;Thousand;SELF;Self-employed persons;F;Construction;PT;Portugal;1999;1999;1143.44
A;Annual;THS;Thousand;EMP;Employed persons;G-J;"Wholesale and retail trade; transport; accommodation and food service activities; information and communication";PT;Portugal;1999;1999;1181.43
A;Annual;THS;Thousand;SAL;Employees;G-J;"Wholesale and retail trade; transport; accommodation and food service activities; information and communication";PT;Portugal;1999;1999;1229.46
A;Annual;THS;Thousand;SELF;Self-employed persons;G-J;"Wholesale and retail trade; transport; accommodation and food service activities; information and communication";PT;Portugal;1999;1999;1277.58
A;Annual;THS;Thousand;EMP;Employed persons;G-I;Wholesale and retail trade, transport, accommodation and food service activities;PT;Portugal;1999;1999;1311.16
A;Annual;THS;Thousand;SAL;Employees;G-I;Wholesale and retail trade, transport, accommodation and food service activities;PT;Portugal;1999;1999;1250.47
A;Annual;THS;Thousand;SELF;Self-employed persons;G-I;Wholesale and retail trade, transport, accommodation and food service activities;PT;Portugal;1999;1999;1222.68
A;Annual;THS;Thousand;EMP;Employed persons;J;Information and communication;PT;Portugal;1999;1999;1283.53
