ano;trimestre;regiao;faixa_etaria;cod_capitulo;desc_capitulo;taxa_internamento;taxa_mortalidade
2023;Terceiro;Região de Saúde do Alentejo;[15-25[;13;Doenças do aparelho osteomuscular e do tecido conjuntivo;4.61;0.0
2023;Terceiro;Região de Saúde do Alentejo;[15-25[;14;Doenças do aparelho geniturinário;2.84;0.0
2023;Terceiro;Região de Saúde do Alentejo;[15-25[;15;Gravidez, parto e puerpério;47.87;0.0
2023;Terceiro;Região de Saúde do Alentejo;[25-45[;4;Doenças endócrinas, nutricionais e metabólicas;1.49;0.0
2023;Segundo;Região de Saúde do Algarve;[45-65[;6;Doenças do sistema nervoso;2.41;13.16
2023;Segundo;Região de Saúde do Algarve;[45-65[;7;Doenças do olho e anexos;0.25;0.0
2023;Segundo;Região de Saúde do Algarve;[45-65[;9;Doenças do aparelho circulatório;14.94;4.24
2023;Segundo;Região de Saúde do Algarve;[45-65[;12;Doenças da pele e do tecido subcutâneo;1.08;0.0
2023;Segundo;Região de Saúde do Algarve;[45-65[;18;Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte;1.71;0.0
2023;Segundo;Região de Saúde do Algarve;[45-65[;19;Lesões, envenenamento e algumas outras consequências de causas externas;12.15;1.04
2023;Segundo;Região de Saúde do Algarve;[45-65[;21;Fatores que influenciam o estado de saúde e o contacto com os serviços de saúde;2.91;23.91
2023;Segundo;Região de Saúde do Algarve;[5-15[;4;Doenças endócrinas, nutricionais e metabólicas;5.17;0.0
2023;Segundo;Região de Saúde do Algarve;[5-15[;10;Doenças do aparelho respiratório;17.82;0.0
2023;Segundo;Região de Saúde do Algarve;[5-15[;14;Doenças do aparelho geniturinário;3.45;0.0
2023;Segundo;Região de Saúde do Algarve;[65-120[;3;Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários;0.9;12.9
2023;Segundo;Região de Saúde do Algarve;[65-120[;4;Doenças endócrinas, nutricionais e metabólicas;3.08;18.87
2023;Segundo;Região de Saúde do Algarve;[65-120[;10;Doenças do aparelho respiratório;15.49;29.46
2023;Segundo;Região de Saúde do Algarve;[65-120[;21;Fatores que influenciam o estado de saúde e o contacto com os serviços de saúde;2.03;38.57
2023;Segundo;Região de Saúde do Centro;[0-1[;17;Malformações congénitas, deformações e anomalias cromossómicas;0.99;0.0
2023;Segundo;Região de Saúde do Centro;[1-5[;3;Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários;1.73;0.0
2023;Segundo;Região de Saúde do Centro;[1-5[;9;Doenças do aparelho circulatório;0.94;0.0
2023;Segundo;Região de Saúde do Centro;[15-25[;4;Doenças endócrinas, nutricionais e metabólicas;1.9;0.0
2023;Segundo;Região de Saúde do Centro;[15-25[;6;Doenças do sistema nervoso;2.96;0.0
2023;Segundo;Região de Saúde do Centro;[15-25[;7;Doenças do olho e anexos;0.3;0.0
2023;Segundo;Região de Saúde do Centro;[15-25[;12;Doenças da pele e do tecido subcutâneo;2.81;0.0
2023;Segundo;Região de Saúde do Centro;[15-25[;21;Fatores que influenciam o estado de saúde e o contacto com os serviços de saúde;4.48;0.0
2023;Segundo;Região de Saúde do Centro;[25-45[;18;Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte;0.86;2.13
2023;Segundo;Região de Saúde do Centro;[25-45[;22;Códigos para fins especiais;0.16;22.22
2023;Segundo;Região de Saúde do Centro;[45-65[;2;Neoplasias;17.67;8.0
2023;Segundo;Região de Saúde do Centro;[45-65[;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;3.54;0.38
2023;Segundo;Região de Saúde do Centro;[45-65[;14;Doenças do aparelho geniturinário;8.19;0.66
2023;Segundo;Região de Saúde do Centro;[45-65[;22;Códigos para fins especiais;0.59;9.09
2023;Segundo;Região de Saúde do Centro;[5-15[;4;Doenças endócrinas, nutricionais e metabólicas;2.34;0.0
2023;Segundo;Região de Saúde do Centro;[5-15[;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;1.22;0.0
2023;Segundo;Região de Saúde do Centro;[5-15[;13;Doenças do aparelho osteomuscular e do tecido conjuntivo;4.79;0.0
2023;Segundo;Região de Saúde do Centro;[5-15[;22;Códigos para fins especiais;0.22;0.0
2023;Segundo;Região de Saúde do Centro;[65-120[;4;Doenças endócrinas, nutricionais e metabólicas;2.04;8.93
2023;Segundo;Região de Saúde do Centro;[65-120[;7;Doenças do olho e anexos;0.36;0.0
2023;Segundo;Região de Saúde do Centro;[65-120[;9;Doenças do aparelho circulatório;20.46;8.6
2023;Segundo;Região de Saúde do Centro;[65-120[;13;Doenças do aparelho osteomuscular e do tecido conjuntivo;4.78;0.87
2023;Segundo;Região de Saúde do Centro;[65-120[;18;Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte;2.3;10.43
2023;Segundo;Região de Saúde do Centro;[65-120[;19;Lesões, envenenamento e algumas outras consequências de causas externas;10.58;5.07
2023;Segundo;Região de Saúde do Centro;[65-120[;21;Fatores que influenciam o estado de saúde e o contacto com os serviços de saúde;2.2;13.74
2023;Segundo;Região de Saúde do Norte;[0-1[;1;Algumas doenças infecciosas e parasitárias;1.41;0.0
2023;Segundo;Região de Saúde do Norte;[0-1[;7;Doenças do olho e anexos;0.03;0.0
2023;Segundo;Região de Saúde do Norte;[0-1[;9;Doenças do aparelho circulatório;0.02;0.0
2023;Segundo;Região de Saúde do Norte;[0-1[;12;Doenças da pele e do tecido subcutâneo;0.27;0.0
2023;Segundo;Região de Saúde do Norte;[0-1[;17;Malformações congénitas, deformações e anomalias cromossómicas;0.72;0.0
2023;Segundo;Região de Saúde do Norte;[0-1[;22;Códigos para fins especiais;0.5;0.0
2023;Segundo;Região de Saúde do Norte;[1-5[;4;Doenças endócrinas, nutricionais e metabólicas;1.06;0.0
2023;Segundo;Região de Saúde do Norte;[1-5[;7;Doenças do olho e anexos;0.82;0.0
2023;Segundo;Região de Saúde do Norte;[1-5[;11;Doenças do aparelho digestivo;5.88;0.0
2023;Segundo;Região de Saúde do Norte;[1-5[;12;Doenças da pele e do tecido subcutâneo;3.43;0.0
2023;Segundo;Região de Saúde do Norte;[1-5[;13;Doenças do aparelho osteomuscular e do tecido conjuntivo;2.04;0.0
2023;Segundo;Região de Saúde do Norte;[1-5[;14;Doenças do aparelho geniturinário;3.59;0.0
2023;Segundo;Região de Saúde do Norte;[1-5[;21;Fatores que influenciam o estado de saúde e o contacto com os serviços de saúde;4.65;0.0
2023;Segundo;Região de Saúde do Norte;[15-25[;1;Algumas doenças infecciosas e parasitárias;2.47;1.52
2023;Segundo;Região de Saúde do Norte;[15-25[;7;Doenças do olho e anexos;0.34;0.0
2023;Segundo;Região de Saúde do Norte;[15-25[;11;Doenças do aparelho digestivo;11.26;0.0
2023;Segundo;Região de Saúde do Norte;[15-25[;13;Doenças do aparelho osteomuscular e do tecido conjuntivo;4.9;0.0
2023;Segundo;Região de Saúde do Norte;[15-25[;14;Doenças do aparelho geniturinário;5.16;0.0
2023;Segundo;Região de Saúde do Norte;[25-45[;13;Doenças do aparelho osteomuscular e do tecido conjuntivo;3.54;0.24
