tempo;regiao;entidade;localizacao_geografica;ebitda;gastos_operacionais;rendimentos_operacionais;resultado_liquido;resultados_operacionais
2017-03;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;-561610.87;17237505.61;16329210.47;-949108.59;-908295.14
2017-03;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;-6633892.21;34937706.22;27531087.849999998;-7561468.83;-7406618.37
2017-03;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;-2014032.53;38394960.339999996;35173667.27;-3113518.02;-3221293.07
2017-03;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;313885.39;13625469.940000001;13643905.96;36509.99;18436.02
2017-03;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;-2508426.45;21031360.53;18133990.11;-2889035.4;-2897370.42
2017-04;Região de Saúde LVT;Centro Hospitalar do Barreiro - Montijo, EPE;38.6554005, -9.0592392;-5864592.869999999;28637451.729999997;21385015.22;-7343019.27;-7252436.509999999
2017-04;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;-19182747.17;149502901.53;127765842.64;-24130422.54;-21737058.89
2017-04;Região de Saúde Norte;Centro Hospitalar Médio Ave, EPE;41.3423984, -8.4802503;-2227859.18;16254016.18;13863252.68;-2391334.67;-2390763.5
2017-04;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;-13017008.34;122296722.44000001;106383736.22;-14747865.26;-15912986.22
2017-04;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;-12205532.62;101748739.91000001;87438628.18;-14427067.56;-14310111.73
2017-04;Região de Saúde Norte;Hospital Distrital S.Maria Maior, EPE - Barcelos;41.5324234, -8.6171561;-674812.96;8074258.22;7272030.83;-793810.54;-802227.39
2017-04;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;-3767290.73;30658020.02;26420175.490000002;-4251836.6;-4237844.53
2017-04;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;449635.34;18046304.889999997;18100619.97;80824.2;54315.08
2017-05;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;-7649106.41;36358833.51;27957601.64;-8276068.35;-8401231.87
2017-05;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;-4797656.5;51192432.13;45324667.629999995;-5879888.87;-5867764.5
2017-05;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;-3293653.46;37300612.58;33176273.77;-3620394.87;-4124338.81
2017-05;Região de Saúde LVT;Hospital Fernando Fonseca, EPE;38.7422257, -9.2264834;-7803904.68;72554411.99;63141991.17;-9007730.65;-9412420.82
2017-06;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;-10210105.27;43489261.73;32563312.439999998;-11074293.13;-10925949.29
2017-06;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;-5321396.71;61215594.25;54610069.54;-6378196.61;-6605524.71
2017-06;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Central, EPE;38.7166948, -9.1371248;-20305395.21;211200290.14;187495819.73;-18284785.22;-23704470.41
