geocod;geodsg;dim_3;dim_3_t;dim_4;dim_4_t;sinal_conv;sinal_conv_desc;ind_string;valor;periodo
3;Região Autónoma da Madeira;2;M;5;Secundário e pós-secundário;;;17,4;17.4;4.º Trimestre de 2024
30;Região Autónoma da Madeira;2;M;5;Secundário e pós-secundário;;;17,4;17.4;4.º Trimestre de 2024
PT;Portugal;2;M;5;Secundário e pós-secundário;;;715,4;715.4;4.º Trimestre de 2024
1;Continente;T;HM;5;Secundário e pós-secundário;;;1 398,2;1398.2;4.º Trimestre de 2024
11;Norte;T;HM;5;Secundário e pós-secundário;;;478,9;478.9;4.º Trimestre de 2024
15;Algarve;T;HM;5;Secundário e pós-secundário;;;69,6;69.6;4.º Trimestre de 2024
16;Centro;T;HM;5;Secundário e pós-secundário;;;315,5;315.5;4.º Trimestre de 2024
17;Área Metropolitana de Lisboa;T;HM;5;Secundário e pós-secundário;;;427,2;427.2;4.º Trimestre de 2024
18;Alentejo;T;HM;5;Secundário e pós-secundário;;;106,9;106.9;4.º Trimestre de 2024
2;Região Autónoma dos Açores;T;HM;5;Secundário e pós-secundário;;;31,7;31.7;4.º Trimestre de 2024
20;Região Autónoma dos Açores;T;HM;5;Secundário e pós-secundário;;;31,7;31.7;4.º Trimestre de 2024
3;Região Autónoma da Madeira;T;HM;5;Secundário e pós-secundário;;;33,5;33.5;4.º Trimestre de 2024
30;Região Autónoma da Madeira;T;HM;5;Secundário e pós-secundário;;;33,5;33.5;4.º Trimestre de 2024
PT;Portugal;T;HM;5;Secundário e pós-secundário;;;1 463,4;1463.4;4.º Trimestre de 2024
1;Continente;1;H;6;Superior;;;593,2;593.2;4.º Trimestre de 2024
11;Norte;1;H;6;Superior;;;205,3;205.3;4.º Trimestre de 2024
15;Algarve;1;H;6;Superior;;;21,5;21.5;4.º Trimestre de 2024
16;Centro;1;H;6;Superior;;;117,5;117.5;4.º Trimestre de 2024
17;Área Metropolitana de Lisboa;1;H;6;Superior;;;223,6;223.6;4.º Trimestre de 2024
18;Alentejo;1;H;6;Superior;;;25,5;25.5;4.º Trimestre de 2024
