geocod;geodsg;dim_3;dim_3_t;dim_4;dim_4_t;ind_string;valor;periodo
11A1308;Matosinhos;T;HM;52;45 - 49 anos;13 790;13790;2023
1500814;Tavira;1;H;T;Total;13 810;13810;2023
16J;Beiras e Serra da Estrela;T;HM;52;45 - 49 anos;13 817;13817;2023
3;Região Autónoma da Madeira;T;HM;22;15 - 19 anos;13 828;13828;2023
30;Região Autónoma da Madeira;T;HM;22;15 - 19 anos;13 828;13828;2023
300;Região Autónoma da Madeira;T;HM;22;15 - 19 anos;13 828;13828;2023
16D;Região de Aveiro;1;H;61;50 - 54 anos;13 834;13834;2023
185;Lezíria do Tejo;T;HM;42;35 - 39 anos;13 846;13846;2023
16D0108;Estarreja;2;M;T;Total;13 877;13877;2023
119;Ave;1;H;51;40 - 44 anos;13 894;13894;2023
16B;Oeste;T;HM;91;80 - 84 anos;13 901;13901;2023
16J0504;Fundão;2;M;T;Total;13 914;13914;2023
112;Cávado;2;M;72;65 - 69 anos;13 921;13921;2023
1701510;Seixal;T;HM;52;45 - 49 anos;13 936;13936;2023
11C;Tâmega e Sousa;2;M;72;65 - 69 anos;13 945;13945;2023
111;Alto Minho;T;HM;82;75 - 79 anos;13 965;13965;2023
1701106;Lisboa;1;H;11;0 - 4 anos;13 969;13969;2023
16B1005;Bombarral;T;HM;T;Total;13 990;13990;2023
16J;Beiras e Serra da Estrela;T;HM;61;50 - 54 anos;14 019;14019;2023
16B;Oeste;2;M;62;55 - 59 anos;14 033;14033;2023
1500814;Tavira;2;M;T;Total;14 051;14051;2023
15;Algarve;1;H;81;70 - 74 anos;14 080;14080;2023
150;Algarve;1;H;81;70 - 74 anos;14 080;14080;2023
1701503;Almada;T;HM;52;45 - 49 anos;14 083;14083;2023
11C;Tâmega e Sousa;2;M;51;40 - 44 anos;14 097;14097;2023
1701106;Lisboa;2;M;31;20 - 24 anos;14 109;14109;2023
11A1317;Vila Nova de Gaia;T;HM;21;10 - 14 anos;14 127;14127;2023
1111608;Valença;T;HM;T;Total;14 159;14159;2023
16D;Região de Aveiro;1;H;52;45 - 49 anos;14 161;14161;2023
11D;Douro;T;HM;62;55 - 59 anos;14 164;14164;2023
1811505;Grândola;T;HM;T;Total;14 165;14165;2023
112;Cávado;1;H;71;60 - 64 anos;14 208;14208;2023
16D;Região de Aveiro;2;M;71;60 - 64 anos;14 217;14217;2023
16E;Região de Coimbra;1;H;51;40 - 44 anos;14 220;14220;2023
1810211;Odemira;2;M;T;Total;14 226;14226;2023
11E0405;Macedo de Cavaleiros;T;HM;T;Total;14 236;14236;2023
11A1317;Vila Nova de Gaia;T;HM;82;75 - 79 anos;14 241;14241;2023
1701111;Sintra;2;M;51;40 - 44 anos;14 246;14246;2023
16B1014;Peniche;2;M;T;Total;14 292;14292;2023
1701106;Lisboa;1;H;31;20 - 24 anos;14 305;14305;2023
16E;Região de Coimbra;2;M;82;75 - 79 anos;14 308;14308;2023
16I;Médio Tejo;T;HM;51;40 - 44 anos;14 330;14330;2023
1701111;Sintra;1;H;61;50 - 54 anos;14 361;14361;2023
18;Alentejo;1;H;11;0 - 4 anos;14 386;14386;2023
1701107;Loures;T;HM;61;50 - 54 anos;14 387;14387;2023
11D1708;Peso da Régua;T;HM;T;Total;14 402;14402;2023
18;Alentejo;2;M;12;5 - 9 anos;14 430;14430;2023
16B1104;Cadaval;T;HM;T;Total;14 435;14435;2023
2004701;Horta;T;HM;T;Total;14 466;14466;2023
1701105;Cascais;T;HM;51;40 - 44 anos;14 484;14484;2023
2;Região Autónoma dos Açores;T;HM;32;25 - 29 anos;14 504;14504;2023
