geocod,geodsg,dim_3,dim_3_t,sinal_conv,sinal_conv_desc,ind_string,periodo,valor
PTVNC,Vila Nova do Corvo,06,"Madeira e cortiça e suas obras (excepto mobiliário); obras de espartaria e de cestaria; pasta, papel e cartão e seus artigos; material impresso, suportes gravados",,,41,2023,41
PTVRE,Vila Real de Santo António,06,"Madeira e cortiça e suas obras (excepto mobiliário); obras de espartaria e de cestaria; pasta, papel e cartão e seus artigos; material impresso, suportes gravados",-,Dado nulo ou não aplicável,-,2023,
A,Região Autónoma dos Açores,06,"Madeira e cortiça e suas obras (excepto mobiliário); obras de espartaria e de cestaria; pasta, papel e cartão e seus artigos; material impresso, suportes gravados",,,45 532,2023,45532
C,Continente,06,"Madeira e cortiça e suas obras (excepto mobiliário); obras de espartaria e de cestaria; pasta, papel e cartão e seus artigos; material impresso, suportes gravados",,,2 853 716,2023,2853716
M,Região Autónoma da Madeira,06,"Madeira e cortiça e suas obras (excepto mobiliário); obras de espartaria e de cestaria; pasta, papel e cartão e seus artigos; material impresso, suportes gravados",,,46 124,2023,46124
P,Portugal,06,"Madeira e cortiça e suas obras (excepto mobiliário); obras de espartaria e de cestaria; pasta, papel e cartão e seus artigos; material impresso, suportes gravados",,,2 945 372,2023,2945372
PT88P,Instalações offshore de Portugal,06,"Madeira e cortiça e suas obras (excepto mobiliário); obras de espartaria e de cestaria; pasta, papel e cartão e seus artigos; material impresso, suportes gravados",-,Dado nulo ou não aplicável,-,2023,
PTADH,Angra do Heroísmo,06,"Madeira e cortiça e suas obras (excepto mobiliário); obras de espartaria e de cestaria; pasta, papel e cartão e seus artigos; material impresso, suportes gravados",-,Dado nulo ou não aplicável,-,2023,
PTAVE,Aveiro,06,"Madeira e cortiça e suas obras (excepto mobiliário); obras de espartaria e de cestaria; pasta, papel e cartão e seus artigos; material impresso, suportes gravados",,,277 753,2023,277753
PTCAL,Calheta,06,"Madeira e cortiça e suas obras (excepto mobiliário); obras de espartaria e de cestaria; pasta, papel e cartão e seus artigos; material impresso, suportes gravados",-,Dado nulo ou não aplicável,-,2023,
PTCDP,Cais do Pico,06,"Madeira e cortiça e suas obras (excepto mobiliário); obras de espartaria e de cestaria; pasta, papel e cartão e seus artigos; material impresso, suportes gravados",,,848,2023,848
PTCNL,Caniçal,06,"Madeira e cortiça e suas obras (excepto mobiliário); obras de espartaria e de cestaria; pasta, papel e cartão e seus artigos; material impresso, suportes gravados",,,45 890,2023,45890
PTFAO,Faro,06,"Madeira e cortiça e suas obras (excepto mobiliário); obras de espartaria e de cestaria; pasta, papel e cartão e seus artigos; material impresso, suportes gravados",-,Dado nulo ou não aplicável,-,2023,
PTFDF,Figueira da Foz,06,"Madeira e cortiça e suas obras (excepto mobiliário); obras de espartaria e de cestaria; pasta, papel e cartão e seus artigos; material impresso, suportes gravados",,,723 833,2023,723833
PTFNC,Funchal,06,"Madeira e cortiça e suas obras (excepto mobiliário); obras de espartaria e de cestaria; pasta, papel e cartão e seus artigos; material impresso, suportes gravados",-,Dado nulo ou não aplicável,-,2023,
PTHOR,Horta,06,"Madeira e cortiça e suas obras (excepto mobiliário); obras de espartaria e de cestaria; pasta, papel e cartão e seus artigos; material impresso, suportes gravados",,,1 307,2023,1307
PTLAJ,Lajes das Flores,06,"Madeira e cortiça e suas obras (excepto mobiliário); obras de espartaria e de cestaria; pasta, papel e cartão e seus artigos; material impresso, suportes gravados",,,357,2023,357
PTLDP,Lajes do Pico,06,"Madeira e cortiça e suas obras (excepto mobiliário); obras de espartaria e de cestaria; pasta, papel e cartão e seus artigos; material impresso, suportes gravados",-,Dado nulo ou não aplicável,-,2023,
PTLEI,Leixões,06,"Madeira e cortiça e suas obras (excepto mobiliário); obras de espartaria e de cestaria; pasta, papel e cartão e seus artigos; material impresso, suportes gravados",,,689 127,2023,689127
PTLIS,Lisboa,06,"Madeira e cortiça e suas obras (excepto mobiliário); obras de espartaria e de cestaria; pasta, papel e cartão e seus artigos; material impresso, suportes gravados",,,183 327,2023,183327
PTMAD,Madalena,06,"Madeira e cortiça e suas obras (excepto mobiliário); obras de espartaria e de cestaria; pasta, papel e cartão e seus artigos; material impresso, suportes gravados",-,Dado nulo ou não aplicável,-,2023,
PTOPO,Douro,07,Coque e produtos petrolíferos refinados,-,Dado nulo ou não aplicável,-,2023,
PTPDL,Ponta Delgada,07,Coque e produtos petrolíferos refinados,,,76 143,2023,76143
PTPRG,Praia da Graciosa,07,Coque e produtos petrolíferos refinados,,,397,2023,397
PTPRM,Portimão,07,Coque e produtos petrolíferos refinados,-,Dado nulo ou não aplicável,-,2023,
PTPRV,Praia da Vitória,07,Coque e produtos petrolíferos refinados,,,699,2023,699
PTPXO,Porto Santo,07,Coque e produtos petrolíferos refinados,,,294,2023,294
PTSCF,Santa Cruz das Flores,07,Coque e produtos petrolíferos refinados,-,Dado nulo ou não aplicável,-,2023,
PT888,Outros portos de Portugal,07,Coque e produtos petrolíferos refinados,-,Dado nulo ou não aplicável,-,2023,
PTSCG,Santa Cruz da Graciosa,07,Coque e produtos petrolíferos refinados,-,Dado nulo ou não aplicável,-,2023,
PTSET,Setúbal,07,Coque e produtos petrolíferos refinados,,,3 231,2023,3231
PTSIN,Sines,07,Coque e produtos petrolíferos refinados,,,7 154 686,2023,7154686
PTVDC,Viana do Castelo,07,Coque e produtos petrolíferos refinados,-,Dado nulo ou não aplicável,-,2023,
PTVDP,Vila do Porto,07,Coque e produtos petrolíferos refinados,,,25,2023,25
PTVEL,Velas,07,Coque e produtos petrolíferos refinados,,,24,2023,24
PTVNC,Vila Nova do Corvo,07,Coque e produtos petrolíferos refinados,-,Dado nulo ou não aplicável,-,2023,
PTVRE,Vila Real de Santo António,07,Coque e produtos petrolíferos refinados,-,Dado nulo ou não aplicável,-,2023,
A,Região Autónoma dos Açores,07,Coque e produtos petrolíferos refinados,,,78 538,2023,78538
C,Continente,07,Coque e produtos petrolíferos refinados,,,7 218 120,2023,7218120
M,Região Autónoma da Madeira,07,Coque e produtos petrolíferos refinados,,,3 313,2023,3313
P,Portugal,07,Coque e produtos petrolíferos refinados,,,7 299 971,2023,7299971
PT88P,Instalações offshore de Portugal,07,Coque e produtos petrolíferos refinados,-,Dado nulo ou não aplicável,-,2023,
PTADH,Angra do Heroísmo,07,Coque e produtos petrolíferos refinados,-,Dado nulo ou não aplicável,-,2023,
PTAVE,Aveiro,07,Coque e produtos petrolíferos refinados,,,23 885,2023,23885
PTCAL,Calheta,07,Coque e produtos petrolíferos refinados,-,Dado nulo ou não aplicável,-,2023,
PTCDP,Cais do Pico,07,Coque e produtos petrolíferos refinados,,,213,2023,213
PTCNL,Caniçal,07,Coque e produtos petrolíferos refinados,,,2 964,2023,2964
PTFAO,Faro,07,Coque e produtos petrolíferos refinados,-,Dado nulo ou não aplicável,-,2023,
PTFDF,Figueira da Foz,07,Coque e produtos petrolíferos refinados,-,Dado nulo ou não aplicável,-,2023,
PTFNC,Funchal,07,Coque e produtos petrolíferos refinados,,,55,2023,55
PTHOR,Horta,07,Coque e produtos petrolíferos refinados,,,605,2023,605
PTLAJ,Lajes das Flores,07,Coque e produtos petrolíferos refinados,,,432,2023,432
