geocod,geodsg,dim_3,dim_3_t,ind_string,valor,periodo,sinal_conv,sinal_conv_desc
16E,Região de Coimbra,28221,"Fabricação de ascensores e monta cargas, escadas e passadeiras rolantes",-3 619,-3619,2022,,
187,Alentejo Central,10712,Pastelaria,-3 616,-3616,2022,,
119,Ave,0146,Suinicultura,-3 605,-3605,2022,,
119,Ave,01460,Suinicultura,-3 605,-3605,2022,,
16E,Região de Coimbra,46731,Comércio por grosso de madeira em bruto e de produtos derivados,-3 561,-3561,2022,,
181,Alentejo Litoral,81,"Atividades relacionadas com edifícios, plantação e manutenção de jardins",-3 561,-3561,2022,,
16F,Região de Leiria,56107,"Restaurantes, n.e. (inclui atividades de restauração em meios móveis)",-3 554,-3554,2022,,
11E,Terras de Trás-os-Montes,478,"Comércio a retalho em bancas, feiras e unidades móveis de venda",-3 538,-3538,2022,,
11E,Terras de Trás-os-Montes,4781,"Comércio a retalho em bancas, feiras e unidades móveis de venda, de produtos alimentares, bebidas e tabaco",-3 538,-3538,2022,,
11E,Terras de Trás-os-Montes,47810,"Comércio a retalho em bancas, feiras e unidades móveis de venda, de produtos alimentares, bebidas e tabaco",-3 538,-3538,2022,,
186,Alto Alentejo,4332,Montagem de trabalhos de carpintaria e de caixilharia,-3 528,-3528,2022,,
186,Alto Alentejo,43320,Montagem de trabalhos de carpintaria e de caixilharia,-3 528,-3528,2022,,
181,Alentejo Litoral,255,"Fabricação de produtos forjados, estampados e laminados; metalurgia dos pós",-3 510,-3510,2022,,
181,Alentejo Litoral,2550,"Fabricação de produtos forjados, estampados e laminados; metalurgia dos pós",-3 510,-3510,2022,,
181,Alentejo Litoral,25501,"Fabricação de produtos forjados, estampados e laminados",-3 510,-3510,2022,,
11,Norte,56106,Confeção de refeições prontas a levar para casa,-3 504,-3504,2022,,
16D,Região de Aveiro,823,"Organização de feiras, congressos e outros eventos similares",-3 497,-3497,2022,,
16D,Região de Aveiro,8230,"Organização de feiras, congressos e outros eventos similares",-3 497,-3497,2022,,
16D,Região de Aveiro,82300,"Organização de feiras, congressos e outros eventos similares",-3 497,-3497,2022,,
111,Alto Minho,31094,Atividades de acabamento de mobiliário,-3 495,-3495,2022,,
181,Alentejo Litoral,H,Transportes e armazenagem,-3 478,-3478,2022,,
18,Alentejo,823,"Organização de feiras, congressos e outros eventos similares",-3 475,-3475,2022,,
18,Alentejo,8230,"Organização de feiras, congressos e outros eventos similares",-3 475,-3475,2022,,
18,Alentejo,82300,"Organização de feiras, congressos e outros eventos similares",-3 475,-3475,2022,,
119,Ave,4643,"Comércio por grosso de eletrodomésticos, aparelhos de rádio e de televisão",-3 464,-3464,2022,,
119,Ave,46430,"Comércio por grosso de eletrodomésticos, aparelhos de rádio e de televisão",-3 464,-3464,2022,,
11D,Douro,941,"Atividades de organizações económicas, patronais e profissionais",-3 447,-3447,2022,,
11D,Douro,9411,Atividades de organizações económicas e patronais,-3 447,-3447,2022,,
11D,Douro,94110,Atividades de organizações económicas e patronais,-3 447,-3447,2022,,
17,Área Metropolitana de Lisboa,4721,"Comércio a retalho de frutas e produtos hortícolas, em estabelecimentos especializados",-3 426,-3426,2022,,
17,Área Metropolitana de Lisboa,47210,"Comércio a retalho de frutas e produtos hortícolas, em estabelecimentos especializados",-3 426,-3426,2022,,
170,Área Metropolitana de Lisboa,4721,"Comércio a retalho de frutas e produtos hortícolas, em estabelecimentos especializados",-3 426,-3426,2022,,
170,Área Metropolitana de Lisboa,47210,"Comércio a retalho de frutas e produtos hortícolas, em estabelecimentos especializados",-3 426,-3426,2022,,
16I,Médio Tejo,70,Atividades das sedes sociais e de consultoria para a gestão,-3 425,-3425,2022,,
16I,Médio Tejo,702,Atividades de consultoria para os negócios e a gestão,-3 425,-3425,2022,,
3,Região Autónoma da Madeira,47111,Comércio a retalho em supermercados e hipermercados,-3 419,-3419,2022,,
30,Região Autónoma da Madeira,47111,Comércio a retalho em supermercados e hipermercados,-3 419,-3419,2022,,
300,Região Autónoma da Madeira,47111,Comércio a retalho em supermercados e hipermercados,-3 419,-3419,2022,,
17,Área Metropolitana de Lisboa,9529,Reparação de outros bens de uso pessoal e doméstico,-3 394,-3394,2022,,
17,Área Metropolitana de Lisboa,95290,Reparação de outros bens de uso pessoal e doméstico,-3 394,-3394,2022,,
170,Área Metropolitana de Lisboa,9529,Reparação de outros bens de uso pessoal e doméstico,-3 394,-3394,2022,,
170,Área Metropolitana de Lisboa,95290,Reparação de outros bens de uso pessoal e doméstico,-3 394,-3394,2022,,
11A,Área Metropolitana do Porto,5813,Edição de jornais,-3 387,-3387,2022,,
11A,Área Metropolitana do Porto,58130,Edição de jornais,-3 387,-3387,2022,,
11D,Douro,692,Atividades de contabilidade e auditoria; consultoria fiscal,-3 354,-3354,2022,,
11D,Douro,6920,Atividades de contabilidade e auditoria; consultoria fiscal,-3 354,-3354,2022,,
11D,Douro,69200,Atividades de contabilidade e auditoria; consultoria fiscal,-3 354,-3354,2022,,
16I,Médio Tejo,1512,"Fabricação de artigos de viagem e de uso pessoal, de marroquinaria, de correeiro e de seleiro",-3 352,-3352,2022,,
16I,Médio Tejo,15120,"Fabricação de artigos de viagem e de uso pessoal, de marroquinaria, de correeiro e de seleiro",-3 352,-3352,2022,,
11A,Área Metropolitana do Porto,4644,Comércio por grosso de louças em cerâmica e em vidro e produtos de limpeza,-3 327,-3327,2022,,
18,Alentejo,712,Atividades de ensaios e análises técnicas,-3 311,-3311,2022,,
18,Alentejo,7120,Atividades de ensaios e análises técnicas,-3 311,-3311,2022,,
18,Alentejo,71200,Atividades de ensaios e análises técnicas,-3 311,-3311,2022,,
185,Lezíria do Tejo,712,Atividades de ensaios e análises técnicas,-3 311,-3311,2022,,
185,Lezíria do Tejo,7120,Atividades de ensaios e análises técnicas,-3 311,-3311,2022,,
185,Lezíria do Tejo,71200,Atividades de ensaios e análises técnicas,-3 311,-3311,2022,,
3,Região Autónoma da Madeira,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco",-3 305,-3305,2022,,
30,Região Autónoma da Madeira,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco",-3 305,-3305,2022,,
300,Região Autónoma da Madeira,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco",-3 305,-3305,2022,,
119,Ave,H,Transportes e armazenagem,-3 302,-3302,2022,,
119,Ave,49,Transportes terrestres e transportes por oleodutos ou gasodutos,-3 280,-3280,2022,,
PT,Portugal,582,Edição de programas informáticos,-3 278,-3278,2022,,
15,Algarve,58,Atividades de edição,-3 266,-3266,2022,,
15,Algarve,582,Edição de programas informáticos,-3 266,-3266,2022,,
150,Algarve,58,Atividades de edição,-3 266,-3266,2022,,
150,Algarve,582,Edição de programas informáticos,-3 266,-3266,2022,,
16G,Viseu Dão Lafões,2562,Atividades de mecânica geral,-3 253,-3253,2022,,
16G,Viseu Dão Lafões,25620,Atividades de mecânica geral,-3 253,-3253,2022,,
16G,Viseu Dão Lafões,712,Atividades de ensaios e análises técnicas,-3 244,-3244,2022,,
16G,Viseu Dão Lafões,7120,Atividades de ensaios e análises técnicas,-3 244,-3244,2022,,
16G,Viseu Dão Lafões,71200,Atividades de ensaios e análises técnicas,-3 244,-3244,2022,,
16I,Médio Tejo,01111,Cerealicultura (exceto arroz),-3 234,-3234,2022,,
16I,Médio Tejo,741,Atividades de design,-3 232,-3232,2022,,
16I,Médio Tejo,7410,Atividades de design,-3 232,-3232,2022,,
16I,Médio Tejo,74100,Atividades de design,-3 232,-3232,2022,,
16J,Beiras e Serra da Estrela,82,Atividades de serviços administrativos e de apoio prestados às empresas,-3 230,-3230,2022,,
16J,Beiras e Serra da Estrela,829,"Atividades de serviços de apoio prestados às empresas, n.e.",-3 230,-3230,2022,,
16E,Região de Coimbra,4677,Comércio por grosso de desperdícios e sucata,-3 229,-3229,2022,,
16E,Região de Coimbra,46771,Comércio por grosso de sucatas e de desperdícios metálicos,-3 229,-3229,2022,,
11E,Terras de Trás-os-Montes,451,Comércio de veículos automóveis,-3 213,-3213,2022,,
11E,Terras de Trás-os-Montes,4511,Comércio de veículos automóveis ligeiros,-3 213,-3213,2022,,
11E,Terras de Trás-os-Montes,45110,Comércio de veículos automóveis ligeiros,-3 213,-3213,2022,,
11,Norte,4765,"Comércio a retalho de jogos e brinquedos, em estabelecimentos especializados",-3 206,-3206,2022,,
11,Norte,47650,"Comércio a retalho de jogos e brinquedos, em estabelecimentos especializados",-3 206,-3206,2022,,
11A,Área Metropolitana do Porto,4765,"Comércio a retalho de jogos e brinquedos, em estabelecimentos especializados",-3 206,-3206,2022,,
11A,Área Metropolitana do Porto,47650,"Comércio a retalho de jogos e brinquedos, em estabelecimentos especializados",-3 206,-3206,2022,,
119,Ave,77,Atividades de aluguer,-3 205,-3205,2022,,
11A,Área Metropolitana do Porto,8621,"Atividades de prática médica de clínica geral, em ambulatório",-3 199,-3199,2022,,
11A,Área Metropolitana do Porto,86210,"Atividades de prática médica de clínica geral, em ambulatório",-3 199,-3199,2022,,
16B,Oeste,161,"Serração, aplainamento e impregnação da madeira",-3 187,-3187,2022,,
16B,Oeste,1610,"Serração, aplainamento e impregnação da madeira",-3 187,-3187,2022,,
16B,Oeste,16101,Serração de madeira,-3 187,-3187,2022,,
186,Alto Alentejo,10712,Pastelaria,-3 186,-3186,2022,,
11C,Tâmega e Sousa,4774,"Comércio a retalho de produtos médicos e ortopédicos, em estabelecimentos especializados",-3 167,-3167,2022,,
11C,Tâmega e Sousa,47740,"Comércio a retalho de produtos médicos e ortopédicos, em estabelecimentos especializados",-3 167,-3167,2022,,
111,Alto Minho,S,Outras atividades de serviços,-3 117,-3117,2022,,
186,Alto Alentejo,Q,Atividades de saúde humana e apoio  social,-3 072,-3072,2022,,
