tempo;regiao;instituicao;localizacao_geografica;gastos_com_te_e_suplementos;gastos_com_pessoal;gastos_com_te_e_suplementos_no_total_gastos_com_pessoal
2019-10;Região de Saúde LVT;Instituto Gama Pinto;38.7218793, -9.144249;895;3375;26.5
2019-10;Região de Saúde Norte;Centro Hospitalar de São João, EPE;41.1831056, -8.6010558;24033;169308;14.2
2019-10;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;8998;54207;16.6
2019-10;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;10849;69099;15.7
2019-11;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;8922;48478;18.4
2019-11;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;33595;241119;13.9
2019-11;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;14205;116785;12.2
2019-11;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;10400;59669;17.4
2019-12;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;9459;54050;17.5
2019-12;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;7772;52234;14.9
2019-12;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973, -7.9281554;20937;135426;15.5
2019-12;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514, -8.4103814;3821;32171;11.9
2019-12;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;15525;127595;12.2
2019-12;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235, -8.984506;2195;38428;5.7
2019-12;Região de Saúde Norte;Centro Hospitalar de São João, EPE;41.1831056, -8.6010558;29769;204871;14.5
2019-12;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;4137;24896;16.6
2019-12;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234, -8.6171561;1646;16923;9.7
2020-01;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973, -7.9281554;1817;11528;15.8
2020-01;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo;40.8571967, -8.6318023;44;468;9.5
2020-01;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235, -8.984506;178;3250;5.5
2020-01;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946, -8.6937515;755;4422;17.1
2020-02;Região de Saúde LVT;Instituto Gama Pinto;38.7218793, -9.144249;92;675;13.7
2020-02;Região de Saúde Norte;Centro Hospitalar do Porto, EPE;41.1472498, -8.6172617;3994;26816;14.9
2020-02;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234, -8.6171561;256;2853;9.0
2020-03;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;2390;14624;16.3
2020-03;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;1980;14494;13.7
